2026-06-02 14:03:37.224 [DEBUG] MIDI fader physical ch 3, logical ch 3: 28.74% raw 4708; touched=True
2026-06-02 14:03:37.229 [DEBUG] MIDI received: status E2, data1 28, data2 25, channel 3, command E0
2026-06-02 14:03:37.229 [DEBUG] MIDI fader physical ch 3, logical ch 3: 29.15% raw 4776; touched=True
2026-06-02 14:03:37.235 [DEBUG] MIDI received: status E2, data1 70, data2 25, channel 3, command E0
2026-06-02 14:03:37.235 [DEBUG] MIDI fader physical ch 3, logical ch 3: 29.59% raw 4848; touched=True
2026-06-02 14:03:37.240 [DEBUG] MIDI received: status E2, data1 48, data2 26, channel 3, command E0
2026-06-02 14:03:37.240 [DEBUG] MIDI fader physical ch 3, logical ch 3: 30.13% raw 4936; touched=True
2026-06-02 14:03:37.246 [DEBUG] MIDI received: status E2, data1 0C, data2 27, channel 3, command E0
2026-06-02 14:03:37.246 [DEBUG] MIDI fader physical ch 3, logical ch 3: 30.54% raw 5004; touched=True
2026-06-02 14:03:37.250 [DEBUG] MIDI received: status E2, data1 58, data2 27, channel 3, command E0
2026-06-02 14:03:37.250 [DEBUG] MIDI fader physical ch 3, logical ch 3: 31.01% raw 5080; touched=True
2026-06-02 14:03:37.252 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=31
2026-06-02 14:03:37.256 [DEBUG] MIDI received: status E2, data1 30, data2 28, channel 3, command E0
2026-06-02 14:03:37.256 [DEBUG] MIDI fader physical ch 3, logical ch 3: 31.54% raw 5168; touched=True
2026-06-02 14:03:37.261 [DEBUG] MIDI received: status E2, data1 74, data2 28, channel 3, command E0
2026-06-02 14:03:37.261 [DEBUG] MIDI fader physical ch 3, logical ch 3: 31.96% raw 5236; touched=True
2026-06-02 14:03:37.266 [DEBUG] MIDI received: status E2, data1 44, data2 29, channel 3, command E0
2026-06-02 14:03:37.267 [DEBUG] MIDI fader physical ch 3, logical ch 3: 32.45% raw 5316; touched=True
2026-06-02 14:03:37.272 [DEBUG] MIDI received: status E2, data1 20, data2 2A, channel 3, command E0
2026-06-02 14:03:37.272 [DEBUG] MIDI fader physical ch 3, logical ch 3: 33.01% raw 5408; touched=True
2026-06-02 14:03:37.278 [DEBUG] MIDI received: status E2, data1 58, data2 2A, channel 3, command E0
2026-06-02 14:03:37.278 [DEBUG] MIDI fader physical ch 3, logical ch 3: 33.35% raw 5464; touched=True
2026-06-02 14:03:37.283 [DEBUG] MIDI received: status E2, data1 30, data2 2B, channel 3, command E0
2026-06-02 14:03:37.283 [DEBUG] MIDI fader physical ch 3, logical ch 3: 33.89% raw 5552; touched=True
2026-06-02 14:03:37.288 [DEBUG] MIDI received: status E2, data1 78, data2 2B, channel 3, command E0
2026-06-02 14:03:37.288 [DEBUG] MIDI fader physical ch 3, logical ch 3: 34.33% raw 5624; touched=True
2026-06-02 14:03:37.293 [DEBUG] MIDI received: status E2, data1 40, data2 2C, channel 3, command E0
2026-06-02 14:03:37.293 [DEBUG] MIDI fader physical ch 3, logical ch 3: 34.77% raw 5696; touched=True
2026-06-02 14:03:37.299 [DEBUG] MIDI received: status E2, data1 1C, data2 2D, channel 3, command E0
2026-06-02 14:03:37.299 [DEBUG] MIDI fader physical ch 3, logical ch 3: 35.33% raw 5788; touched=True
2026-06-02 14:03:37.304 [DEBUG] MIDI received: status E2, data1 74, data2 2D, channel 3, command E0
2026-06-02 14:03:37.304 [DEBUG] MIDI fader physical ch 3, logical ch 3: 35.87% raw 5876; touched=True
2026-06-02 14:03:37.309 [DEBUG] MIDI received: status E2, data1 44, data2 2E, channel 3, command E0
2026-06-02 14:03:37.309 [DEBUG] MIDI fader physical ch 3, logical ch 3: 36.35% raw 5956; touched=True
2026-06-02 14:03:37.315 [DEBUG] MIDI received: status E2, data1 20, data2 2F, channel 3, command E0
2026-06-02 14:03:37.315 [DEBUG] MIDI fader physical ch 3, logical ch 3: 36.92% raw 6048; touched=True
2026-06-02 14:03:37.320 [DEBUG] MIDI received: status E2, data1 0C, data2 30, channel 3, command E0
2026-06-02 14:03:37.320 [DEBUG] MIDI fader physical ch 3, logical ch 3: 37.58% raw 6156; touched=True
2026-06-02 14:03:37.325 [DEBUG] MIDI received: status E2, data1 68, data2 30, channel 3, command E0
2026-06-02 14:03:37.325 [DEBUG] MIDI fader physical ch 3, logical ch 3: 38.14% raw 6248; touched=True
2026-06-02 14:03:37.330 [DEBUG] vMix HTTP fader command sent. Function=SetVolume, Input=649366ac-21fd-4181-b0be-934deafea94f, Value=38
2026-06-02 14:03:37.331 [DEBUG] MIDI received: status E2, data1 40, data2 31, channel 3, command E0
2026-06-02 14:03:37.331 [DEBUG] MIDI fader physical ch 3, logical ch 3: 38.67% raw 6336; touched=True
2026-06-02 14:03:37.336 [DEBUG] MIDI received: status E2, data1 38, data2 32, channel 3, command E0
2026-06-02 14:03:37.336 [DEBUG] MIDI fader physical ch 3, logical ch 3: 39.41% raw 6456; touched=True
2026-06-02 14:03:37.342 [DEBUG] MIDI received: status E2, data1 24, data2 33, channel 3, command E0
2026-06-02 14:03:37.342 [DEBUG] MIDI fader physical ch 3, logical ch 3: 40.07% raw 6564; touched=True
2026-06-02 14:03:37.347 [DEBUG] MIDI received: status E2, data1 04, data2 34, channel 3, command E0
